Facility,Area,Ownership,Primary Use,Condition,Constr Date,Constr Date Num,FIR year renov,Renov Date Num,Constr Date Replaced,Constr Replaced pct,FIR Pct Renov,Occup Date,Occup Date Num,Constr Cost,GT Category,FIR Constr Type,RI-Aux-Other,ASF,Avg cost/sf
101,55409,1,4,REM26-50,1/1/1968 0:00,24838,,,24838,24838,0,1/1/1968 0:00,24838,1725000,ACADI&R,7,100-000-000,34986,215
103,154356,1,3,SATIS,1/1/1970 0:00,25569,5/1/2015 0:00,42125,42125,29708,25,1/1/1970 0:00,25569,4853000,ACADI&R,7,100-000-000,87944,215
103A,434,1,1,SATIS,1/1/1971 0:00,25934,,,25934,25934,0,1/1/1971 0:00,25934,43000,ACADI&R,7,100-000-000,366,120
104,112342,1,8,REM26-50,1/1/1969 0:00,25204,,,25204,25204,0,1/1/1969 0:00,25204,2358000,STUDSUPP,7,068-032-000,74702,145
104A,5704,1,8,SATIS,1/1/1989 0:00,32509,,,32509,32509,0,1/1/1989 0:00,32509,440000,STUDSUPP,7,100-000-000,4480,145
105,7198,1,1,SATIS,1/1/1969 0:00,25204,1/1/1998 0:00,35796,35796,30500,50,1/1/1969 0:00,25204,149000,RESIDENT,7,000-100-000,4856,140
106,16342,1,22,SATIS,1/1/1969 0:00,25204,1/1/2000 0:00,36526,36526,36526,100,1/1/1969 0:00,25204,327000,RESIDENT,7,001-099-000,8832,105
107,24130,1,23,SATIS,1/1/1969 0:00,25204,1/1/2007 0:00,39083,39083,36307.2,80,1/1/1969 0:00,25204,468000,RESIDENT,7,001-099-000,14895,130
108,22460,1,23,SATIS,1/1/1969 0:00,25204,1/1/2007 0:00,39083,39083,36307.2,80,1/1/1969 0:00,25204,468000,RESIDENT,7,001-099-000,14372,130
109,28974,1,23,SATIS,1/1/1969 0:00,25204,9/1/2002 0:00,37500,37500,37500,100,1/1/1969 0:00,25204,478000,RESIDENT,7,001-099-000,18810,130
110,28974,1,23,SATIS,1/1/1969 0:00,25204,1/1/1998 0:00,35796,35796,27852,25,1/1/1969 0:00,25204,478000,RESIDENT,7,001-099-000,18673,130
111,96919,1,4,SATIS,1/1/1969 0:00,25204,7/1/2013 0:00,41456,41456,41456,100,1/1/1969 0:00,25204,2160000,ACADI&R,7,100-000-000,58518,215
114,21955,1,8,SATIS,1/1/1970 0:00,25569,1/1/2004 0:00,37987,37987,37987,100,1/1/1971 0:00,25934,737000,STUDSUPP,7,027-073-000,15450,145
114A,27045,1,8,SATIS,1/1/1985 0:00,31048,1/1/2004 0:00,37987,37987,36599.2,80,1/1/1985 0:00,31048,1250000,STUDSUPP,7,073-027-000,14928,145
115,31479,1,2,REM>51,1/1/1935 0:00,12785,,,12785,12785,0,1/1/1975 0:00,27395,347000,ACADI&R,7,100-000-000,17593,175
116,142209,1,23,SATIS,1/1/1984 0:00,30682,1/1/2000 0:00,36526,36526,32143,25,1/1/1984 0:00,30682,8500000,RESIDENT,7,001-099-000,85894,130
117,27060,1,23,SATIS,1/1/1972 0:00,26299,1/1/2011 0:00,40544,40544,37695,80,1/1/1972 0:00,26299,580000,RESIDENT,7,001-099-000,16600,130
118,23926,1,23,SATIS,1/1/1972 0:00,26299,1/1/2011 0:00,40544,40544,37695,80,1/1/1972 0:00,26299,632000,RESIDENT,7,001-099-000,16454,130
119,31599,1,23,SATIS,1/1/1972 0:00,26299,1/1/2011 0:00,40544,40544,37695,80,1/1/1972 0:00,26299,729000,RESIDENT,7,001-099-000,18723,130
123,42598,1,1,SATIS,1/1/1990 0:00,32874,,,32874,32874,0,1/1/1991 0:00,33239,3300000,STUDSUPP,7,085-015-000,28941,160
124,40490,1,10,SATIS,1/1/1992 0:00,33604,,,33604,33604,0,1/1/1992 0:00,33604,3300000,STUDSUPP,7,050-050-000,29948,220
125,22902,1,1,SATIS,1/1/1986 0:00,31413,,,31413,31413,0,1/1/1986 0:00,31413,1500000,OTHER,7,000-000-100,14337,140
126,119294,1,4,SATIS,1/1/1990 0:00,32874,,,32874,32874,0,1/1/1991 0:00,33239,15000000,ACADI&R,7,100-000-000,62810,250
129,162923,1,4,SATIS,1/1/1992 0:00,33604,,,33604,33604,0,1/1/1992 0:00,33604,21000000,ACADI&R,7,100-000-000,91869,250
130,289933,1,23,SATIS,1/1/1995 0:00,34700,,,34700,34700,0,1/1/1995 0:00,34700,24844000,RESIDENT,7,001-099-000,151364,160
131,132885,1,23,SATIS,1/1/1995 0:00,34700,,,34700,34700,0,1/1/1995 0:00,34700,13235000,RESIDENT,7,001-099-000,76973,160
132,152789,1,23,SATIS,1/1/1995 0:00,34700,1/1/1999 0:00,36161,36161,35065.25,25,1/1/1995 0:00,34700,14024000,RESIDENT,7,001-099-000,92927,160
133,8756,1,6,SATIS,1/1/1995 0:00,34700,,,34700,34700,0,1/1/1995 0:00,34700,3254000,CAMPSUPP,7,100-000-000,102,550
133A,7861,1,6,SATIS,1/1/2001 0:00,36892,,,36892,36892,,1/1/2001 0:00,36892,4346000,CAMPSUPP,7,100-000-000,,550
134,30843,1,22,SATIS,1/1/1995 0:00,34700,,,34700,34700,0,1/1/1995 0:00,34700,3400000,RESIDENT,7,001-099-000,18895,130
135,121973,1,4,SATIS,1/1/1995 0:00,34700,,,34700,34700,0,1/1/1995 0:00,34700,16305000,ACADI&R,7,100-000-000,66576,250
136,30274,1,4,SATIS,1/1/1970 0:00,25569,,,25569,25569,0,1/1/1993 0:00,33970,520000,ACADI&R,7,100-000-000,25000,215
137,29160,5,2,SATIS,1/1/1986 0:00,31413,,,31413,31413,0,1/1/1992 0:00,33604,2100000,ACADI&R,7,100-000-000,16513,175
138,44856,1,1,SATIS,1/1/1984 0:00,30682,,,30682,30682,0,1/1/1995 0:00,34700,200000,CAMPSUPP,7,100-000-000,35897,140
140,236473,2,9,SATIS,1/1/1995 0:00,34700,1/1/2002 0:00,37257,37257,36745.6,80,1/1/1995 0:00,34700,10000000,STUDSUPP,7,097-000-003,157643,170
142,16261,1,1,SATIS,1/1/1984 0:00,30682,,,30682,30682,0,1/1/1995 0:00,34700,1000,CAMPSUPP,7,100-000-000,13093,140
144,158124,1,4,SATIS,1/1/2000 0:00,36526,,,36526,36526,0,1/1/2000 0:00,36526,27260000,ACADI&R,7,100-000-000,80696,250
145,33030,1,4,SATIS,1/1/1998 0:00,35796,,,35796,35796,0,1/1/1998 0:00,35796,3574000,ACADI&R,7,100-000-000,17295,250
146,155241,8,4,SATIS,1/1/1999 0:00,36161,,,36161,36161,0,1/1/1999 0:00,36161,31770000,ACADI&R,7,100-000-000,100457,250
147,292144,1,4,SATIS,1/1/2002 0:00,37257,,,37257,37257,,1/1/2002 0:00,37257,58216000,ACADI&R,7,100-000-000,160739,250
